species_folder,scientific_name,common_name
gymnosarda_unicolor,Gymnosarda unicolor,Dogtooth Tuna
gymnothorax_breedeni,Gymnothorax breedeni,Masked Moray
gymnothorax_favagineus,Gymnothorax favagineus,Laced Moray
gymnothorax_flavimarginatus,Gymnothorax flavimarginatus,Yellowmargin Moray
gymnothorax_javanicus,Gymnothorax javanicus,Giant Moray
gymnothorax_meleagris,Gymnothorax meleagris,Whitemouth Moray
gymnothorax_pictus,Gymnothorax pictus,Peppered Moray
gymnothorax_pseudothyrsoideus,Gymnothorax pseudothyrsoideus,Highfin Moray
gymnothorax_thyrsoideus,Gymnothorax thyrsoideus,White-eyed Moray
gymnothorax_undulatus,Gymnothorax undulatus,Undulated Moray
halichoeres_hortulanus,Halichoeres hortulanus,Checkerboard Wrasse
halichoeres_nebulosus,Halichoeres nebulosus,Cloud Wrasse
halichoeres_nigrescens,Halichoeres nigrescens,Bubblefin Wrasse
halichoeres_scapularis,Halichoeres scapularis,Zigzag Wrasse
harpadon_nehereus,Harpadon nehereus,Bombay Duck
helotes_sexlineatus,Helotes sexlineatus,six-lined grunter
hemigobius_hoevenii,Hemigobius hoevenii,Banded Mulletgoby
hemigymnus_fasciatus,Hemigymnus fasciatus,Barred Thicklip
hemigymnus_melapterus,Hemigymnus melapterus,Blackeye Thicklip
hemiramphus_far,Hemiramphus far,Black-barred Halfbeak
hemitaurichthys_zoster,Hemitaurichthys zoster,Black Pyramid Butterflyfish
heniochus_acuminatus,Heniochus acuminatus,Longfin Bannerfish
heniochus_diphreutes,Heniochus diphreutes,Schooling Bannerfish
heniochus_monoceros,Heniochus monoceros,Masked Bannerfish
heniochus_pleurotaenia,Heniochus pleurotaenia,Phantom Bannerfish
heniochus_singularius,Heniochus singularius,Singular Bannerfish
hippocampus_kuda,Hippocampus kuda,Common Seahorse
hippocampus_mohnikei,Hippocampus mohnikei,Japanese Seahorse
hippocampus_trimaculatus,Hippocampus trimaculatus,Three-spot Seahorse
hipposcarus_harid,Hipposcarus harid,Indian Longnose Parrotfish
hologymnosus_annulatus,Hologymnosus annulatus,Ringed Slender Wrasse
hologymnosus_doliatus,Hologymnosus doliatus,Pastel Ring Wrasse
istiblennius_dussumieri,Istiblennius dussumieri,Dussumier's Rockskipper
istiblennius_edentulus,Istiblennius edentulus,Rippled Rockskipper
istiblennius_lineatus,Istiblennius lineatus,Lined Rockskipper
istigobius_ornatus,Istigobius ornatus,Ornate Sandgoby
istiompax_indica,Istiompax indica,Black Marlin
istiophorus_platypterus,Istiophorus platypterus,Sailfish
kajikia_audax,Kajikia audax,Striped Marlin
karalla_daura,Karalla daura,Goldstripe Ponyfish
katsuwonus_pelamis,Katsuwonus pelamis,Skipjack Tuna
koumansetta_hectori,Koumansetta hectori,Yellowstripe Goby
kyphosus_bigibbus,Kyphosus bigibbus,Grey Drummer
kyphosus_cinerascens,Kyphosus cinerascens,Highfin Chub
kyphosus_vaigiensis,Kyphosus vaigiensis,Brassy Drummer
labroides_bicolor,Labroides bicolor,Bicolor Cleaner Wrasse
labroides_dimidiatus,Labroides dimidiatus,Bluestreak Cleaner Wrasse
lactarius_lactarius,Lactarius lactarius,False Trevally
lactoria_cornuta,Lactoria cornuta,Longhorn Cowfish
lagocephalus_laevigatus,Lagocephalus laevigatus,Smooth Puffer
lagocephalus_lunaris,Lagocephalus lunaris,Rough Golden Puffer
leiognathus_equula,Leiognathus equula,Common Ponyfish
lethrinus_erythracanthus,Lethrinus erythracanthus,Orangespotted Emperor
lethrinus_lentjan,Lethrinus lentjan,Redspot Emperor
lethrinus_microdon,Lethrinus microdon,Smalltooth Emperor
lethrinus_nebulosus,Lethrinus nebulosus,Spangled Emperor
lethrinus_obsoletus,Lethrinus obsoletus,Orangestriped Emperor
lethrinus_olivaceus,Lethrinus olivaceus,Longnose Emperor
lethrinus_ornatus,Lethrinus ornatus,Ornate Emperor
lethrinus_xanthochilus,Lethrinus xanthochilus,Yellowlip Emperor
lobotes_surinamensis,Lobotes surinamensis,Atlantic Tripletail
lutjanus_argentimaculatus,Lutjanus argentimaculatus,Mangrove Red Snapper
lutjanus_bohar,Lutjanus bohar,Two-spot Red Snapper
lutjanus_fulviflamma,Lutjanus fulviflamma,Blackspot Snapper
lutjanus_fulvus,Lutjanus fulvus,Blacktail Snapper
lutjanus_gibbus,Lutjanus gibbus,Humpback Snapper
lutjanus_indicus,Lutjanus indicus,Indian Snapper
lutjanus_johnii,Lutjanus johnii,Golden Snapper
lutjanus_kasmira,Lutjanus kasmira,Bluestriped Snapper
lutjanus_lemniscatus,Lutjanus lemniscatus,Darktail Snapper
lutjanus_lutjanus,Lutjanus lutjanus,Bigeye Snapper
lutjanus_monostigma,Lutjanus monostigma,Onespot Snapper
lutjanus_quinquelineatus,Lutjanus quinquelineatus,Fiveline Snapper
lutjanus_rivulatus,Lutjanus rivulatus,Speckled Snapper
